Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,5,Tue,2022-10-25,21:00 (20:00),Dinamo Zagreb hr,0.7,0–4,3.2,it Milan,20572,Stadion Maksimir,Szymon Marciniak,Match Report,
Group stage,5,Wed,2022-10-26,18:45 (17:45),Club Brugge be,1.4,0–4,3.2,pt Porto,26144,Jan Breydelstadion,Michael Oliver,Match Report,
Group stage,5,Wed,2022-10-26,18:45 (17:45),Inter it,3.2,4–0,0.1,cz Viktoria Plzeň,71849,Stadio Giuseppe Meazza,Andreas Ekberg,Match Report,
Group stage,5,Wed,2022-10-26,20:00,Tottenham eng,1.7,1–1,0.8,pt Sporting CP,59588,Tottenham Hotspur Stadium,Danny Makkelie,Match Report,
Group stage,5,Wed,2022-10-26,21:00 (20:00),Eint Frankfurt de,1.1,2–1,0.7,fr Marseille,48700,Deutsche Bank Park,Jesús Gil,Match Report,
Group stage,5,Wed,2022-10-26,21:00 (20:00),Atlético Madrid es,2.6,2–2,1.5,de Leverkusen,63803,Estadio Cívitas Metropolitano,Clément Turpin,Match Report,
Group stage,5,Wed,2022-10-26,21:00 (20:00),Barcelona es,0.7,0–3,2.1,de Bayern Munich,84016,Camp Nou,Anthony Taylor,Match Report,
Group stage,5,Wed,2022-10-26,21:00 (20:00),Ajax nl,1.2,0–3,1.6,eng Liverpool,53327,Johan Cruyff ArenA,José Sánchez,Match Report,
Group stage,5,Wed,2022-10-26,21:00 (20:00),Napoli it,1.8,3–0,0.7,sct Rangers,39835,Stadio Diego Armando Maradona,Halil Umut Meler,Match Report,
,,,,,,,,,,,,,,
Group stage,6,Tue,2022-11-01,17:45,Porto pt,2.7,2–1,0.8,es Atlético Madrid,47546,Estádio Do Dragão,Daniele Orsato,Match Report,
Group stage,6,Tue,2022-11-01,18:45 (17:45),Leverkusen de,1.1,0–0,0.5,be Club Brugge,30210,BayArena,Maurizio Mariani,Match Report,
Group stage,6,Tue,2022-11-01,20:00,Liverpool eng,2.4,2–0,0.4,it Napoli,52077,Anfield,Tobias Stieler,Match Report,
Group stage,6,Tue,2022-11-01,20:00,Rangers sct,1.8,1–3,1.8,nl Ajax,48817,Ibrox Stadium,Glenn Nyberg,Match Report,
Group stage,6,Tue,2022-11-01,20:00,Sporting CP pt,0.5,1–2,1.2,de Eint Frankfurt,41744,Estádio José Alvalade,Slavko Vinčič,Match Report,
Group stage,6,Tue,2022-11-01,21:00 (20:00),Marseille fr,1.4,1–2,0.6,eng Tottenham,50768,Orange Vélodrome,Szymon Marciniak,Match Report,
Group stage,6,Tue,2022-11-01,21:00 (20:00),Bayern Munich de,1.5,2–0,0.7,it Inter,75000,Allianz Arena,Ivan Kružliak,Match Report,
Group stage,6,Tue,2022-11-01,21:00 (20:00),Viktoria Plzeň cz,2.6,2–4,2.3,es Barcelona,11258,Doosan Arena,Radu Petrescu,Match Report,
Group stage,6,Wed,2022-11-02,18:45 (17:45),Real Madrid es,3.8,5–1,2.1,sct Celtic,52511,Estadio Santiago Bernabéu,Stéphanie Frappart,Match Report,
