Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
14,Sun,2022-11-06,15:00 (14:00),Reims,2.8,1–0,0.7,Nantes,11477,Stade Auguste-Delaune,Ruddy Buquet,Match Report,
14,Sun,2022-11-06,15:00 (14:00),Nice,1.1,1–0,1.1,Brest,19035,Stade Municipal du Ray,Jeremy Stinat,Match Report,
14,Sun,2022-11-06,15:00 (14:00),Clermont Foot,3.4,1–1,1.2,Montpellier,10990,Stade Gabriel Montpied,Marc Bollengier,Match Report,
14,Sun,2022-11-06,17:05 (16:05),Lille,2.4,1–1,0.9,Rennes,35539,Stadium Nord Lille Métropole,Johan Hamel,Match Report,
14,Sun,2022-11-06,20:45 (19:45),Marseille,0.8,1–0,0.9,Lyon,62975,Orange Vélodrome,François Letexier,Match Report,
,,,,,,,,,,,,,
15,Fri,2022-11-11,21:00 (20:00),Lyon,1.3,1–1,1.6,Nice,57000,Groupama Stadium,Eric Wattellier,Match Report,
15,Sat,2022-11-12,17:00 (16:00),Lens,1.5,2–1,0.2,Clermont Foot,37519,Stade Bollaert-Delelis,Hakim Ben El Hadj Salem,Match Report,
15,Sat,2022-11-12,21:00 (20:00),Rennes,2.1,2–1,1.0,Toulouse,26835,Roazhon Park,Willy Delajod,Match Report,
15,Sun,2022-11-13,13:00 (12:00),Paris S-G,2.0,5–0,0.7,Auxerre,45000,Parc des Princes,Thomas Léonard,Match Report,
15,Sun,2022-11-13,15:00 (14:00),Lille,0.6,1–0,0.6,Angers,36360,Decathlon Arena - Stade Pierre-Mauroy,Miguel Nogueira,Match Report,
15,Sun,2022-11-13,15:00 (14:00),Montpellier,1.7,1–1,2.1,Reims,11778,Stade de la Mosson,Florent Batta,Match Report,
15,Sun,2022-11-13,15:00 (14:00),Brest,2.4,2–1,1.0,Troyes,10642,Stade Francis-Le Blé,Ruddy Buquet,Match Report,
15,Sun,2022-11-13,15:00 (14:00),Nantes,1.1,2–2,2.5,Ajaccio,29407,Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,Match Report,
15,Sun,2022-11-13,17:05 (16:05),Strasbourg,2.3,1–1,0.5,Lorient,25117,Stade de la Meinau,Pierre Gaillouste,Match Report,
15,Sun,2022-11-13,20:45 (19:45),Monaco,2.0,2–3,1.9,Marseille,10631,Stade Louis II.,Benoît Bastien,Match Report,
,,,,,,,,,,,,,
16,Wed,2022-12-28,15:00 (14:00),Ajaccio,,,,Angers,,Stade François Coty,,Head-to-Head,
16,Wed,2022-12-28,15:00 (14:00),Troyes,,,,Nantes,,Stade de l'Aube,,Head-to-Head,
16,Wed,2022-12-28,17:00 (16:00),Auxerre,,,,Monaco,,Stade de l'Abbé Deschamps,,Head-to-Head,
16,Wed,2022-12-28,19:00 (18:00),Clermont Foot,,,,Lille,,Stade Gabriel Montpied,,Head-to-Head,
16,Wed,2022-12-28,21:00 (20:00),Brest,,,,Lyon,,Stade Francis-Le Blé,,Head-to-Head,
16,Wed,2022-12-28,21:00 (20:00),Paris S-G,,,,Strasbourg,,Parc des Princes,,Head-to-Head,
16,Thu,2022-12-29,17:00 (16:00),Lorient,,,,Montpellier,,Stade Yves Allainmat - Le Moustoir,,Head-to-Head,
16,Thu,2022-12-29,19:00 (18:00),Reims,,,,Rennes,,Stade Auguste-Delaune,,Head-to-Head,
16,Thu,2022-12-29,21:00 (20:00),Marseille,,,,Toulouse,,Orange Vélodrome,,Head-to-Head,
16,Thu,2022-12-29,21:00 (20:00),Nice,,,,Lens,,Stade de Nice,,Head-to-Head,
,,,,,,,,,,,,,
17,Sun,2023-01-01,15:00 (14:00),Toulouse,,,,Ajaccio,,Stadium Municipal,,Head-to-Head,
17,Sun,2023-01-01,15:00 (14:00),Monaco,,,,Brest,,Stade Louis II.,,Head-to-Head,
17,Sun,2023-01-01,15:00 (14:00),Angers,,,,Lorient,,Stade Raymond Kopa,,Head-to-Head,
17,Sun,2023-01-01,15:00 (14:00),Nantes,,,,Auxerre,,Stade de la Beaujoire - Louis Fonteneau,,Head-to-Head,
17,Sun,2023-01-01,17:00 (16:00),Lyon,,,,Clermont Foot,,Groupama Stadium,,Head-to-Head,
17,Sun,2023-01-01,20:45 (19:45),Lens,,,,Paris S-G,,Stade Bollaert-Delelis,,Head-to-Head,
