Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sun,2023-01-08,,Juventus,,,,Udinese,,,,Head-to-Head,
17,Sun,2023-01-08,,Sampdoria,,,,Napoli,,,,Head-to-Head,
17,Sun,2023-01-08,,Bologna,,,,Atalanta,,,,Head-to-Head,
17,Sun,2023-01-08,,Hellas Verona,,,,Cremonese,,,,Head-to-Head,
,,,,,,,,,,,,,
18,Sun,2023-01-15,,Udinese,,,,Bologna,,,,Head-to-Head,
18,Sun,2023-01-15,,Inter,,,,Hellas Verona,,,,Head-to-Head,
18,Sun,2023-01-15,,Lecce,,,,Milan,,,,Head-to-Head,
18,Sun,2023-01-15,,Empoli,,,,Sampdoria,,,,Head-to-Head,
18,Sun,2023-01-15,,Napoli,,,,Juventus,,,,Head-to-Head,
18,Sun,2023-01-15,,Atalanta,,,,Salernitana,,,,Head-to-Head,
18,Sun,2023-01-15,,Sassuolo,,,,Lazio,,,,Head-to-Head,
18,Sun,2023-01-15,,Torino,,,,Spezia,,,,Head-to-Head,
18,Sun,2023-01-15,,Roma,,,,Fiorentina,,,,Head-to-Head,
18,Sun,2023-01-15,,Cremonese,,,,Monza,,,,Head-to-Head,
,,,,,,,,,,,,,
19,Sun,2023-01-22,,Inter,,,,Empoli,,,,Head-to-Head,
19,Sun,2023-01-22,,Spezia,,,,Roma,,,,Head-to-Head,
19,Sun,2023-01-22,,Fiorentina,,,,Torino,,,,Head-to-Head,
19,Sun,2023-01-22,,Lazio,,,,Milan,,,,Head-to-Head,
19,Sun,2023-01-22,,Juventus,,,,Atalanta,,,,Head-to-Head,
19,Sun,2023-01-22,,Monza,,,,Sassuolo,,,,Head-to-Head,
19,Sun,2023-01-22,,Bologna,,,,Cremonese,,,,Head-to-Head,
19,Sun,2023-01-22,,Hellas Verona,,,,Lecce,,,,Head-to-Head,
19,Sun,2023-01-22,,Salernitana,,,,Napoli,,,,Head-to-Head,
19,Sun,2023-01-22,,Sampdoria,,,,Udinese,,,,Head-to-Head,
,,,,,,,,,,,,,
20,Sun,2023-01-29,,Udinese,,,,Hellas Verona,,,,Head-to-Head,
20,Sun,2023-01-29,,Lecce,,,,Salernitana,,,,Head-to-Head,
20,Sun,2023-01-29,,Lazio,,,,Fiorentina,,,,Head-to-Head,
20,Sun,2023-01-29,,Juventus,,,,Monza,,,,Head-to-Head,
20,Sun,2023-01-29,,Milan,,,,Sassuolo,,,,Head-to-Head,
20,Sun,2023-01-29,,Cremonese,,,,Inter,,,,Head-to-Head,
20,Sun,2023-01-29,,Empoli,,,,Torino,,,,Head-to-Head,
20,Sun,2023-01-29,,Atalanta,,,,Sampdoria,,,,Head-to-Head,
20,Sun,2023-01-29,,Napoli,,,,Roma,,,,Head-to-Head,
20,Sun,2023-01-29,,Bologna,,,,Spezia,,,,Head-to-Head,
,,,,,,,,,,,,,
21,Sun,2023-02-05,,Sassuolo,,,,Atalanta,,,,Head-to-Head,
21,Sun,2023-02-05,,Inter,,,,Milan,,,,Head-to-Head,
21,Sun,2023-02-05,,Hellas Verona,,,,Lazio,,,,Head-to-Head,
21,Sun,2023-02-05,,Torino,,,,Udinese,,,,Head-to-Head,
21,Sun,2023-02-05,,Roma,,,,Empoli,,,,Head-to-Head,
21,Sun,2023-02-05,,Cremonese,,,,Lecce,,,,Head-to-Head,
21,Sun,2023-02-05,,Spezia,,,,Napoli,,,,Head-to-Head,
21,Sun,2023-02-05,,Monza,,,,Sampdoria,,,,Head-to-Head,
21,Sun,2023-02-05,,Fiorentina,,,,Bologna,,,,Head-to-Head,
21,Sun,2023-02-05,,Salernitana,,,,Juventus,,,,Head-to-Head,
,,,,,,,,,,,,,
22,Sun,2023-02-12,,Napoli,,,,Cremonese,,,,Head-to-Head,
22,Sun,2023-02-12,,Hellas Verona,,,,Salernitana,,,,Head-to-Head,
22,Sun,2023-02-12,,Empoli,,,,Spezia,,,,Head-to-Head,
22,Sun,2023-02-12,,Juventus,,,,Fiorentina,,,,Head-to-Head,
