Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
16,Sun,2023-01-08,,Almería,,,,Real Sociedad,,,,Head-to-Head,
,,,,,,,,,,,,,
17,Sat,2023-01-14,,Real Sociedad,,,,Athletic Club,,,,Head-to-Head,
17,Sat,2023-01-14,,Betis,,,,Barcelona,,,,Head-to-Head,
17,Sat,2023-01-14,,Celta Vigo,,,,Villarreal,,,,Head-to-Head,
17,Sat,2023-01-14,,Osasuna,,,,Mallorca,,,,Head-to-Head,
17,Sat,2023-01-14,,Girona,,,,Sevilla,,,,Head-to-Head,
17,Sat,2023-01-14,,Almería,,,,Atlético Madrid,,,,Head-to-Head,
17,Sat,2023-01-14,,Real Madrid,,,,Valencia,,,,Head-to-Head,
17,Sat,2023-01-14,,Cádiz,,,,Elche,,,,Head-to-Head,
17,Sat,2023-01-14,,Getafe,,,,Espanyol,,,,Head-to-Head,
17,Sat,2023-01-14,,Valladolid,,,,Rayo Vallecano,,,,Head-to-Head,
,,,,,,,,,,,,,
18,Sun,2023-01-22,,Barcelona,,,,Getafe,,,,Head-to-Head,
18,Sun,2023-01-22,,Atlético Madrid,,,,Valladolid,,,,Head-to-Head,
18,Sun,2023-01-22,,Athletic Club,,,,Real Madrid,,,,Head-to-Head,
18,Sun,2023-01-22,,Espanyol,,,,Betis,,,,Head-to-Head,
18,Sun,2023-01-22,,Valencia,,,,Almería,,,,Head-to-Head,
18,Sun,2023-01-22,,Elche,,,,Osasuna,,,,Head-to-Head,
18,Sun,2023-01-22,,Rayo Vallecano,,,,Real Sociedad,,,,Head-to-Head,
18,Sun,2023-01-22,,Sevilla,,,,Cádiz,,,,Head-to-Head,
18,Sun,2023-01-22,,Villarreal,,,,Girona,,,,Head-to-Head,
18,Sun,2023-01-22,,Mallorca,,,,Celta Vigo,,,,Head-to-Head,
,,,,,,,,,,,,,
19,Sun,2023-01-29,,Celta Vigo,,,,Athletic Club,,,,Head-to-Head,
19,Sun,2023-01-29,,Osasuna,,,,Atlético Madrid,,,,Head-to-Head,
19,Sun,2023-01-29,,Almería,,,,Espanyol,,,,Head-to-Head,
19,Sun,2023-01-29,,Girona,,,,Barcelona,,,,Head-to-Head,
19,Sun,2023-01-29,,Cádiz,,,,Mallorca,,,,Head-to-Head,
19,Sun,2023-01-29,,Villarreal,,,,Rayo Vallecano,,,,Head-to-Head,
19,Sun,2023-01-29,,Valladolid,,,,Valencia,,,,Head-to-Head,
19,Sun,2023-01-29,,Real Madrid,,,,Real Sociedad,,,,Head-to-Head,
19,Sun,2023-01-29,,Sevilla,,,,Elche,,,,Head-to-Head,
19,Sun,2023-01-29,,Getafe,,,,Betis,,,,Head-to-Head,
,,,,,,,,,,,,,
20,Sun,2023-02-05,,Real Sociedad,,,,Valladolid,,,,Head-to-Head,
20,Sun,2023-02-05,,Atlético Madrid,,,,Getafe,,,,Head-to-Head,
20,Sun,2023-02-05,,Betis,,,,Celta Vigo,,,,Head-to-Head,
20,Sun,2023-02-05,,Mallorca,,,,Real Madrid,,,,Head-to-Head,
20,Sun,2023-02-05,,Barcelona,,,,Sevilla,,,,Head-to-Head,
20,Sun,2023-02-05,,Elche,,,,Villarreal,,,,Head-to-Head,
20,Sun,2023-02-05,,Espanyol,,,,Osasuna,,,,Head-to-Head,
20,Sun,2023-02-05,,Rayo Vallecano,,,,Almería,,,,Head-to-Head,
20,Sun,2023-02-05,,Girona,,,,Valencia,,,,Head-to-Head,
20,Sun,2023-02-05,,Athletic Club,,,,Cádiz,,,,Head-to-Head,
,,,,,,,,,,,,,
21,Sun,2023-02-12,,Villarreal,,,,Barcelona,,,,Head-to-Head,
21,Sun,2023-02-12,,Real Madrid,,,,Elche,,,,Head-to-Head,
21,Sun,2023-02-12,,Almería,,,,Betis,,,,Head-to-Head,
21,Sun,2023-02-12,,Valencia,,,,Athletic Club,,,,Head-to-Head,
21,Sun,2023-02-12,,Celta Vigo,,,,Atlético Madrid,,,,Head-to-Head,
21,Sun,2023-02-12,,Espanyol,,,,Real Sociedad,,,,Head-to-Head,
