Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
15,Sun,2022-11-13,15:00 (14:00),Montpellier,,,,Reims,,Stade de la Mosson,,Head-to-Head,
15,Sun,2022-11-13,15:00 (14:00),Nantes,,,,Ajaccio,,Stade de la Beaujoire - Louis Fonteneau,,Head-to-Head,
15,Sun,2022-11-13,15:00 (14:00),Lille,,,,Angers,,Stade Pierre-Mauroy,,Head-to-Head,
15,Sun,2022-11-13,17:05 (16:05),Strasbourg,,,,Lorient,,Stade de la Meinau,,Head-to-Head,
15,Sun,2022-11-13,20:45 (19:45),Monaco,,,,Marseille,,Stade Louis II.,,Head-to-Head,
,,,,,,,,,,,,,
16,Wed,2022-12-28,,Nice,,,,Lens,,,,Head-to-Head,
16,Wed,2022-12-28,,Marseille,,,,Toulouse,,,,Head-to-Head,
16,Wed,2022-12-28,,Troyes,,,,Nantes,,,,Head-to-Head,
16,Wed,2022-12-28,,Clermont Foot,,,,Lille,,,,Head-to-Head,
16,Wed,2022-12-28,,Ajaccio,,,,Angers,,,,Head-to-Head,
16,Wed,2022-12-28,,Lorient,,,,Montpellier,,,,Head-to-Head,
16,Wed,2022-12-28,,Auxerre,,,,Monaco,,,,Head-to-Head,
16,Wed,2022-12-28,,Paris S-G,,,,Strasbourg,,,,Head-to-Head,
16,Wed,2022-12-28,,Reims,,,,Rennes,,,,Head-to-Head,
16,Wed,2022-12-28,,Brest,,,,Lyon,,,,Head-to-Head,
,,,,,,,,,,,,,
17,Sun,2023-01-01,,Rennes,,,,Nice,,,,Head-to-Head,
17,Sun,2023-01-01,,Monaco,,,,Brest,,,,Head-to-Head,
17,Sun,2023-01-01,,Toulouse,,,,Ajaccio,,,,Head-to-Head,
17,Sun,2023-01-01,,Lyon,,,,Clermont Foot,,,,Head-to-Head,
17,Sun,2023-01-01,,Nantes,,,,Auxerre,,,,Head-to-Head,
17,Sun,2023-01-01,,Lens,,,,Paris S-G,,,,Head-to-Head,
17,Sun,2023-01-01,,Lille,,,,Reims,,,,Head-to-Head,
,,,,,,,,,,,,,
