Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
12,Sat,2022-10-29,15:30 (14:30),Stuttgart,,,,Augsburg,,Mercedes-Benz Arena,,Head-to-Head,
12,Sat,2022-10-29,15:30 (14:30),RB Leipzig,,,,Leverkusen,,Red Bull Arena,,Head-to-Head,
12,Sat,2022-10-29,15:30 (14:30),Wolfsburg,,,,Bochum,,Volkswagen Arena,,Head-to-Head,
12,Sat,2022-10-29,18:30 (17:30),Eint Frankfurt,,,,Dortmund,,Commerzbank-Arena,,Head-to-Head,
12,Sun,2022-10-30,15:30 (14:30),Union Berlin,,,,M'Gladbach,,Stadion An der Alten Försterei,,Head-to-Head,
12,Sun,2022-10-30,17:30 (16:30),Schalke 04,,,,Freiburg,,Veltins-Arena,,Head-to-Head,
12,Sun,2022-10-30,19:30 (18:30),Köln,,,,Hoffenheim,,RheinEnergieSTADION,,Head-to-Head,
,,,,,,,,,,,,,
13,Fri,2022-11-04,20:30 (19:30),M'Gladbach,,,,Stuttgart,,Stadion im Borussia-Park,,Head-to-Head,
13,Sat,2022-11-05,15:30 (14:30),Hoffenheim,,,,RB Leipzig,,PreZero Arena,,Head-to-Head,
13,Sat,2022-11-05,15:30 (14:30),Augsburg,,,,Eint Frankfurt,,WWK Arena,,Head-to-Head,
13,Sat,2022-11-05,15:30 (14:30),Hertha BSC,,,,Bayern Munich,,Olympiastadion Berlin,,Head-to-Head,
13,Sat,2022-11-05,15:30 (14:30),Dortmund,,,,Bochum,,Signal Iduna Park,,Head-to-Head,
13,Sat,2022-11-05,15:30 (14:30),Mainz 05,,,,Wolfsburg,,Opel Arena,,Head-to-Head,
13,Sat,2022-11-05,18:30 (17:30),Werder Bremen,,,,Schalke 04,,Weserstadion,,Head-to-Head,
13,Sun,2022-11-06,15:30 (14:30),Leverkusen,,,,Union Berlin,,BayArena,,Head-to-Head,
13,Sun,2022-11-06,17:30 (16:30),Freiburg,,,,Köln,,Europa-Park Stadion,,Head-to-Head,
,,,,,,,,,,,,,
14,Tue,2022-11-08,18:30 (17:30),Wolfsburg,,,,Dortmund,,Volkswagen Arena,,Head-to-Head,
14,Tue,2022-11-08,20:30 (19:30),Stuttgart,,,,Hertha BSC,,Mercedes-Benz Arena,,Head-to-Head,
14,Tue,2022-11-08,20:30 (19:30),Bochum,,,,M'Gladbach,,Vonovia Ruhrstadion,,Head-to-Head,
14,Tue,2022-11-08,20:30 (19:30),Bayern Munich,,,,Werder Bremen,,Allianz Arena,,Head-to-Head,
14,Wed,2022-11-09,18:30 (17:30),Köln,,,,Leverkusen,,RheinEnergieSTADION,,Head-to-Head,
14,Wed,2022-11-09,20:30 (19:30),Eint Frankfurt,,,,Hoffenheim,,Commerzbank-Arena,,Head-to-Head,
14,Wed,2022-11-09,20:30 (19:30),Union Berlin,,,,Augsburg,,Stadion An der Alten Försterei,,Head-to-Head,
14,Wed,2022-11-09,20:30 (19:30),Schalke 04,,,,Mainz 05,,Veltins-Arena,,Head-to-Head,
14,Wed,2022-11-09,20:30 (19:30),RB Leipzig,,,,Freiburg,,Red Bull Arena,,Head-to-Head,
,,,,,,,,,,,,,
15,Fri,2022-11-11,20:30 (19:30),M'Gladbach,,,,Dortmund,,Stadion im Borussia-Park,,Head-to-Head,
15,Sat,2022-11-12,15:30 (14:30),Leverkusen,,,,Stuttgart,,BayArena,,Head-to-Head,
15,Sat,2022-11-12,15:30 (14:30),Werder Bremen,,,,RB Leipzig,,Weserstadion,,Head-to-Head,
15,Sat,2022-11-12,15:30 (14:30),Hoffenheim,,,,Wolfsburg,,PreZero Arena,,Head-to-Head,
15,Sat,2022-11-12,15:30 (14:30),Augsburg,,,,Bochum,,WWK Arena,,Head-to-Head,
15,Sat,2022-11-12,15:30 (14:30),Hertha BSC,,,,Köln,,Olympiastadion Berlin,,Head-to-Head,
