,ID,Category,Date,Name,Score,Active
222,222,Hockey,2022-11-11,Toronto Maple Leafs - Pittsburgh Penguins,2 - 4,False
223,223,Hockey,2022-11-11,Washington Capitals - Tampa Bay Lightning,5 - 1,False
224,224,Hockey,2022-11-12,Anaheim Ducks - Chicago Blackhawks,2 - 3,False
225,225,Hockey,2022-11-12,Buffalo Sabres - Boston Bruins,1 - 3,False
226,226,Hockey,2022-11-12,Calgary Flames - Winnipeg Jets,3 - 2,False
227,227,Hockey,2022-11-12,Colorado Avalanche - Carolina Hurricanes,4 - 1,False
228,228,Hockey,2022-11-12,Florida Panthers - Edmonton Oilers,2 - 4,False
229,229,Hockey,2022-11-12,Los Angeles Kings - Detroit Red Wings,4 - 3,False
230,230,Hockey,2022-11-12,Montreal Canadiens - Pittsburgh Penguins,5 - 4,False
231,231,Hockey,2022-11-12,New Jersey Devils - Arizona Coyotes,4 - 2,False
232,232,Hockey,2022-11-12,Nashville Predators - New York Rangers,2 - 1,False
233,233,Hockey,2022-11-12,New York Islanders - Columbus Blue Jackets,4 - 3,False
234,234,Hockey,2022-11-12,Philadelphia Flyers - Ottawa Senators,1 - 4,False
235,235,Hockey,2022-11-12,Toronto Maple Leafs - Vancouver Canucks,3 - 2,False
236,236,Hockey,2022-11-12,Vegas Golden Knights - St. Louis Blues,2 - 3,False
237,237,Hockey,2022-11-13,Boston Bruins - Vancouver Canucks,5 - 2,False
238,238,Hockey,2022-11-13,Minnesota Wild - San Jose Sharks,2 - 3,False
239,239,Hockey,2022-11-13,New York Rangers - Arizona Coyotes,4 - 1,False
240,240,Hockey,2022-11-13,Philadelphia Flyers - Dallas Stars,1 - 5,False
241,241,Hockey,2022-11-13,Seattle Kraken - Winnipeg Jets,2 - 3,False
242,242,Hockey,2022-11-13,Tampa Bay Lightning - Washington Capitals,6 - 3,False
243,243,Hockey,2022-11-14,Calgary Flames - Los Angeles Kings,6 - 5,False
244,244,Hockey,2022-11-14,Chicago Blackhawks - Carolina Hurricanes,0 - 3,False
245,245,Hockey,2022-11-14,Colorado Avalanche - St. Louis Blues,2 - 3,False
246,246,Hockey,2022-11-14,Ottawa Senators - New York Islanders,2 - 4,False
